,lon,lat,ele,sun,hum,pre,rai,N,cod
658,75.8163888889,-3.28833333333,2000,0,0,11,2,2,22010010
659,75.65,-3.53333333333,1500,0,0,6,4,2,22010030
660,75.7166666667,-3.38333333333,920,0,0,11,4,2,22010040
661,75.7666666667,-3.38333333333,2120,0,0,11,0,1,22010060
662,75.7391666667,-3.53666666667,1990,0,0,6,3,2,22010070
663,75.7833333333,-3.21694444444,2040,0,1,11,2,3,22015010
664,75.6313888889,-3.52916666667,1200,0,2,6,3,3,22015020
665,75.765,-3.04722222222,1780,0,0,11,3,2,22020020
666,75.6772222222,-3.09472222222,1500,0,0,6,3,2,22020030
667,75.5905555556,-3.28861111111,1700,0,0,6,4,2,22020040
668,75.6077777778,-3.39805555556,1200,0,0,6,4,2,22020050
669,75.6508333333,-3.13555555556,2230,0,0,6,3,2,22020060
670,75.6166666667,-3.33083333333,770,0,0,6,4,2,22020070
671,75.6666666667,-3.16666666667,1355,5,2,6,3,4,22025010
672,75.5033333333,-3.72222222222,1040,1,2,6,3,4,22045010
673,75.5838888889,-3.65166666667,1000,0,2,6,3,3,22045020
674,75.1991666667,-3.79805555556,370,0,0,11,4,2,22050030
675,75.3825,-3.5975,486,0,0,6,4,2,22050040
676,75.6930555556,-3.90333333333,2490,0,0,11,2,2,22050060
677,75.4908333333,-3.42944444444,1630,0,0,6,4,2,22050070
678,75.5080555556,-3.37944444444,1600,0,0,6,3,2,22050080
679,75.0211111111,-3.92305555556,410,0,0,11,4,2,22050090
680,75.0969444444,-3.82305555556,780,0,0,11,4,2,22050100
681,75.5394444444,-3.45861111111,500,1,2,6,4,4,22055020
682,74.8986111111,-3.98583333333,300,1,2,6,4,4,22055030
683,75.22,-3.93944444444,495,0,0,11,4,2,22060070
684,75.5483333333,-3.76611111111,900,0,0,6,4,2,22060080
685,75.33,-3.81555555556,475,0,0,6,4,2,22060090
686,75.1066666667,-3.91111111111,316,0,0,11,4,2,22060100
687,75.4233333333,-3.7175,780,0,0,6,4,2,22060110
688,75.4877777778,-3.90666666667,1500,1,2,6,3,4,22065040
689,75.6075,-4.00638888889,2468,0,0,11,2,2,22070010
690,75.4994444444,-4.12444444444,2700,0,0,7,6,2,22070030
691,75.2844444444,-4.20138888889,2020,0,1,11,3,3,22075030
692,75.0488888889,-5.155,1350,0,0,6,3,2,23010020
693,74.7483333333,-5.20333333333,196,0,0,6,6,2,23010080
694,74.8863888889,-5.20972222222,475,0,0,6,3,2,23015040
695,75.1441666667,-5.26583333333,2000,0,0,6,3,2,23020080
696,75.2669444444,-5.27805555556,2637,0,0,7,3,2,23020090
697,74.9144444444,-5.32055555556,675,0,0,4,3,2,23020100
698,75.1333333333,-5.2,1420,0,0,6,0,1,23025010
699,74.7291666667,-5.26277777778,222,1,2,6,3,4,23025020
700,74.9158333333,-5.2975,500,1,2,4,3,4,23025040
701,74.6547222222,-5.47138888889,172,1,2,6,3,4,23035020
702,74.6763888889,-5.47916666667,270,0,0,6,6,2,23040030
703,74.9383333333,-5.32388888889,920,0,0,4,3,2,23040070
704,75.0575,-5.29888888889,1600,0,0,6,4,2,23050080
705,74.7261111111,-5.73083333333,160,0,0,3,3,2,23050100
706,75.135,-5.37277777778,2100,0,0,6,3,2,23050230
707,74.8919444444,-5.57472222222,730,0,0,4,3,2,23050250
708,75.05,-5.3,1550,0,0,6,0,1,23050330
709,74.9927777778,-5.41833333333,1475,1,1,4,0,3,23055040
710,75.1386111111,-5.73111111111,1669,0,0,4,3,2,23055070
711,74.4947222222,-5.35194444444,1270,0,0,6,4,2,23060110
712,74.6116666667,-5.07805555556,975,0,0,6,3,2,23060140
713,74.6305555556,-5.75888888889,180,0,0,6,6,2,23060150
